,symbol,company,event_name,date,call_time,eps_estimate,reported_eps,surprise
216,THMG,Thunder Mountain Gold Inc,Q4 2024  Earnings Release,2025-03-10,TAS,,,
217,SRTSF,Gr Sarantis SA,Full Year 2024  Earnings Release,2025-03-10,AMC,,,
218,SUPV,Grupo Supervielle SA,Q4 2024  Earnings Release,2025-03-10,AMC,,,
219,GSTX,Graphene & Solar Technologies Ltd,Q4 2024  Earnings Release,2025-03-10,AMC,,,
220,GLOP-PC,GasLog Partners LP,Q4 2024  Earnings Release,2025-03-10,BMO,,,
221,WARFF,Wharf Holdings Ltd,Full Year 2024  Earnings Release,2025-03-10,TNS,,,
222,NWHUF,NorthWest Healthcare Properties REIT,Q4 2024  Earnings Release,2025-03-10,BMO,,,
223,HMRRF,Hammer Metals Ltd,Half Year 2025  Earnings Release,2025-03-10,AMC,,,
224,WARFY,Wharf Holdings Ltd,Full Year 2024  Earnings Release,2025-03-10,TNS,,,
225,HYPOF,Hypoport SE,Preliminary Q4 2024  Earnings Release,2025-03-10,BMO,,,
226,PAY,Paymentus Holdings Inc,Q4 2024  Earnings Release,2025-03-10,AMC,,,
227,HKHGF,Hongkong Land Holdings Ltd,Full Year 2024  Earnings Release,2025-03-10,AMC,,,
228,JARLF,Jardine Matheson Holdings Ltd,Full Year 2024  Earnings Release,2025-03-10,TNS,,,
229,JMHLY,Jardine Matheson Holdings Ltd,Full Year 2024  Earnings Release,2025-03-10,TNS,,,
230,VMD,Viemed Healthcare Inc,Q4 2024  Earnings Release,2025-03-10,AMC,0.08,,
231,NCSM,NCS Multistage Holdings Inc,Q4 2024  Earnings Release,2025-03-10,AMC,0.83,,
232,HRGLF,Hargreaves Lansdown PLC,Half Year 2025  Earnings Release,2025-03-10,BMO,,,
233,MHLD,Maiden Holdings Ltd,Q4 2024  Earnings Release,2025-03-10,TNS,,,
234,LMB,Limbach Holdings Inc,Q4 2024  Earnings Release,2025-03-10,AMC,0.84,,
235,GORV,Lazydays Holdings Inc,Q4 2024  Earnings Release,2025-03-10,BMO,,,
236,HNGKY,Hongkong Land Holdings Ltd,Full Year 2024  Earnings Release,2025-03-10,AMC,,,
237,SPLP-PA,Steel Partners Holdings LP,Q4 2024  Earnings Release,2025-03-10,BMO,,,
238,SPLP,Steel Partners Holdings LP,Q4 2024  Earnings Release,2025-03-10,BMO,,,
239,HSTOQ,Histogen Inc,Q2 2024  Earnings Release,2025-03-10,TAS,,,
240,MURSF,Murray & Roberts Holdings Ltd,Half Year 2025  Earnings Release,2025-03-10,TNS,,,
241,ICAD,ICAD Inc,Q4 2024  Earnings Release,2025-03-10,TNS,,,
242,SST,System1 Inc,Q4 2024  Earnings Release,2025-03-10,AMC,-0.23,,
243,TRAGF,Terago Inc,Q4 2024  Earnings Release,2025-03-10,AMC,,,
244,TBLT,Toughbuilt Industries Inc,Q1 2024  Earnings Release,2025-03-10,TAS,,,
245,PRLD,Prelude Therapeutics Inc,Q4 2024  Earnings Release,2025-03-10,TNS,-0.48,,
246,METCZ,Ramaco Resources Inc,Q4 2024  Earnings Release,2025-03-10,AMC,,,
247,NWTN,NWTN Inc,Half Year 2024  Earnings Release,2025-03-10,AMC,,,
248,NUMIF,Numinus Wellness Inc,Q4 2024  Earnings Release,2025-03-10,AMC,-0.01,,
249,MNKIF,Monks Investment Trust PLC,Half Year 2024  Earnings Release,2025-03-10,BMO,,,
250,TAPM,Tapinator Inc,Q4 2024  Earnings Release,2025-03-10,TNS,,,
